Currency,IN_BankTransfer,IN_CreditCard,IN_DebitCard,IN_OpenBanking,IN_ACH,OUT_BankTransfer,OUT_CreditCard,OUT_DebitCard,OUT_OpenBanking,OUT_ACH,CPO,MobileWallet,CCY,Balance,PeerToPeer
PKR,1-12 Hours,<30mins,<30mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<4days
PLN,<6hrs,<30mins,<30mins,<1hr,N/A,<24hrs,<6hrs,<6hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
PLN,<6hrs,<30mins,<30mins,<1hr,N/A,<24hrs,<6hrs,<6hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
PYG,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
PYG,1-12 Hours,1-12 Hours,1-12 Hours,1-12 Hours,N/A,1-12 Hours,1-12 Hours,1-12 Hours,1-12 Hours,N/A,5mins,5mins,Ria CCY,5mins,1-12 Hours
QAR,<24hrs,<30mins,<30mins,<6hrs,N/A,<48 hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
RON,<6hrs,<24hrs,<30mins,<6hrs,N/A,<6hrs,<24hrs,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
RON,<6hrs,<24hrs,<30mins,<6hrs,N/A,<6hrs,<24hrs,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
RSD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<48 hrs,<48 hrs,<48 hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
RUB,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<48 hrs,<48 hrs,<48 hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
RWF,<24hrs,<3 days,<3 days,<3 days,N/A,<24hrs,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
RWF,24hrs,24hrs,24hrs,24hrs,N/A,24hrs,24hrs,24hrs,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
SEK,<6hrs,5mins,<30mins,<30mins,N/A,<24hrs,<6hrs,1-12 Hours,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
SGD,<6hrs,5mins,<24hrs,<30mins,N/A,<48 hrs,<1hr,<48 hrs,1-12 Hours,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
THB,<6hrs,<30mins,<30mins,<30mins,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
THB,<6hrs,<30mins,<30mins,<30mins,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<48hrs
TND,1-12 Hours,<30mins,<30mins,<6hrs,N/A,<48 hrs,<48 hrs,<48 hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
TOP,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
TOP,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
TRY,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
TRY,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
TTD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
TWD,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
TZS,<3 days,5mins,<30mins,<6hrs,N/A,<4days,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,<4days
TZS,24hrs,5mins,<30mins,<6hrs,N/A,24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
UGX,24hrs,<30mins,5mins,<6hrs,N/A,24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
UGX,<24hrs,<30mins,5mins,<6hrs,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<48hrs
UYU,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
UYU,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
VND,<6hrs,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,<4days
VND,<5mins,<5mins,<5mins,<5mins,N/A,<5mins,<5mins,<5mins,<5mins,N/A,5mins,5mins,Ria CCY,5mins,<5mins
WST,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
WST,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
XCD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
XOF,1-12 Hours,5mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
ZAR,<6hrs,5mins,5mins,<30mins,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
ZWD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
ETB,1-12 Hours,5mins,5mins,<1hr,N/A,24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
ETB,1-12 Hours,5mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
SAR,1-12 Hours,<30mins,5mins,<1hr,N/A,24hrs,<1hr,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
SAR,1-12 Hours,<30mins,5mins,<1hr,N/A,24hrs,<1hr,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,24hrs
XAF,Three Days,Three Days,<30mins,<30mins,N/A,Three Days,Three Days,<30mins,<1hr,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
XAF,24hrs,24hrs,<30mins,<30mins,N/A,24hrs,24hrs,<30mins,<1hr,N/A,5mins,5mins,Ria CCY,5mins,24hrs
ZMW,24hrs,<30mins,<30mins,1-12 Hours,N/A,24hrs,<30mins,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
ZMW,48hrs,<30mins,<30mins,1-12 Hours,N/A,48hrs,<30mins,<30mins,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,48hrs
NAD,<6hrs,<30mins,<30mins,<1hr,N/A,<6hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
NAD,<6hrs,<30mins,<30mins,<1hr,N/A,<6hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
XOF,1-12 Hours,5mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
ALL,Three Days,Three Days,Three Days,Three Days,N/A,Three Days,Three Days,Three Days,Three Days,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
KRW,24hrs,24hrs,<30mins,<1hr,N/A,24hrs,24hrs,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
KRW,Three Days,Three Days,<30mins,<1hr,N/A,Three Days,Three Days,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
BWP,24hrs,<30mins,<30mins,<6hrs,N/A,24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
BWP,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,48hrs
MNT,24hrs,24hrs,24hrs,24hrs,N/A,24hrs,24hrs,24hrs,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
MNT,Three Days,Three Days,Three Days,Three Days,N/A,Three Days,Three Days,Three Days,Three Days,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
CVE,24hrs,24hrs,<30mins,1-12 Hours,N/A,24hrs,24hrs,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
CVE,<24hrs,Three Days,<30mins,1-12 Hours,N/A,<24hrs,Three Days,<30mins,<24hrs,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
HTG,1hr,1hr,1hr,1hr,N/A,1hr,1hwr,1hr,1hr,N/A,5mins,5mins,Ria CCY,5mins,1hr
HTG,Three Days,Three Days,Three Days,Three Days,N/A,Three Days,Three Days,Three Days,Three Days,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
QAR,24hrs,<30mins,<30mins,<6hrs,N/A,24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
QAR,24hrs,<30mins,<30mins,<6hrs,N/A,24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,24hrs
CNY,<30mins,24hrs,<30mins,5mins,N/A,24hrs,24hrs,24hrs,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,24hrs
SLE,24hrs,5mins,<30mins,24hrs,N/A,24hrs,<30mins,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
MRU,24hrs,24hrs,24hrs,24hrs,N/A,24hrs,24hrs,24hrs,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
MRU,Three Days,Three Days,Three Days,Three Days,N/A,Three Days,Three Days,Three Days,Three Days,N/A,5mins,5mins,Exotic CCY,5mins,Three Days
BSD,24hrs,24hrs,24hrs,24hrs,N/A,24hrs,24hrs,24hrs,24hrs,N/A,5mins,5mins,Standard CCY,5mins,24hrs
