Currency,IN_BankTransfer,IN_CreditCard,IN_DebitCard,IN_OpenBanking,IN_ACH,OUT_BankTransfer,OUT_CreditCard,OUT_DebitCard,OUT_OpenBanking,OUT_ACH,CPO,MobileWallet,CCY,Balance,PeerToPeer
KMF,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
KMF,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
KWD,<24hrs,<24hrs,<24hrs,1-12 Hours,N/A,<48 hrs,<48 hrs,<4days,<48hrs,N/A,5mins,5mins,Standard CCY,<48hrs,<48hrs
LKR,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
LKR,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
MAD,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
MAD,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
MMK,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
MMK,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Ria CCY,5mins,<4days
MUR,<30mins,5mins,5mins,<30mins,N/A,<48hrs,<6hrs,<30mins,<24hrs,N/A,5mins,5mins,Standard CCY,<24hrs,<24hrs
MXN,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<1hr
MXN,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<1hr
MYR,<24hrs,<30mins,<30mins,<6hrs,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
MYR,<24hrs,<30mins,<30mins,<6hrs,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
MZN,<3 days,<3 days,<30mins,<3 days,N/A,<4days,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
MZN,24hrs,24hrs,<30mins,24hrs,N/A,24hrs,24hrs,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
NGN,1-12 Hours,5mins,<30mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
NGN,1-12 Hours,5mins,<30mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
NOK,1-12 Hours,<24hrs,<6hrs,1-12 Hours,N/A,>4days,<24hrs,<24hrs,>4days,N/A,5mins,5mins,Standard CCY,<6hrs,<6hrs
NPR,<48hrs,<30mins,<30mins,<6hrs,N/A,Three Days,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
NPR,<48hrs,<30mins,<30mins,<6hrs,N/A,Three Days,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
OMR,<48hrs,<24hrs,<24hrs,<48hrs,N/A,<48hrs,<48 hrs,<48hrs,Three Days,N/A,5mins,5mins,Standard CCY,<24hrs,<24hrs
PEN,<48hrs,<30mins,<30mins,<6hrs,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
PEN,<48hrs,<30mins,<30mins,<6hrs,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
PHP,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
PHP,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
PKR,1-12 Hours,<30mins,<30mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
PKR,1-12 Hours,<30mins,<30mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
PLN,<6hrs,<30mins,<30mins,<1hr,N/A,<4days,<6hrs,<6hrs,<24hrs,N/A,5mins,5mins,Ria CCY,<1hr,<6hrs
PLN,<6hrs,<30mins,<30mins,<1hr,N/A,<4days,<6hrs,<6hrs,<24hrs,N/A,5mins,5mins,Standard CCY,<1hr,<6hrs
PYG,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,<24hrs,<24hrs
PYG,1-12 Hours,1-12 Hours,1-12 Hours,1-12 Hours,N/A,1-12 Hours,1-12 Hours,1-12 Hours,1-12 Hours,N/A,5mins,5mins,Ria CCY,<24hrs,<24hrs
QAR,<48hrs,<30mins,<30mins,<6hrs,N/A,Three Days,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
RON,<6hrs,<24hrs,<30mins,<6hrs,N/A,<6hrs,<24hrs,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
RON,<6hrs,<24hrs,<30mins,<6hrs,N/A,<6hrs,<24hrs,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
RSD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<48 hrs,<48 hrs,<48 hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,<6hrs,<6hrs
RUB,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<48 hrs,<48 hrs,<48 hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
RWF,<24hrs,<3 days,<3 days,<3 days,N/A,<24hrs,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,<1hr,<6hrs
RWF,<24hrs,24hrs,24hrs,24hrs,N/A,<24hrs,24hrs,24hrs,24hrs,N/A,5mins,5mins,Ria CCY,<1hr,<6hrs
SEK,<6hrs,5mins,<30mins,<30mins,N/A,>4days,<6hrs,1-12 Hours,<48hrs,N/A,5mins,5mins,Standard CCY,<1hr,<6hrs
SGD,<6hrs,5mins,<24hrs,<30mins,N/A,<4days,<1hr,<48 hrs,1-12 Hours,N/A,5mins,5mins,Standard CCY,<1hr,<6hrs
THB,<6hrs,<30mins,<30mins,<30mins,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<1hr,<6hrs
THB,<6hrs,<30mins,<30mins,<30mins,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<1hr,<6hrs
TND,1-12 Hours,<30mins,<30mins,<6hrs,N/A,>4days,<48hrs,<48hrs,>4days,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
TOP,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
TOP,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
TRY,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<1hr
TRY,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<1hr
TTD,<24hrs,<24hrs,<4days,<24hrs,N/A,<24hrs,<24hrs,>4days,<24hrs,N/A,5mins,5mins,Standard CCY,<48hrs,<4days
